user_id,email,password,nickname,birth_date,gender,sigungu,distance,introduction,last_sync_at,location,profile_photo_id
1,user1@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,나나,1975-11-19,남자,송파구,10,"안녕하세요, 나나 입니다.",2025-09-21 18:17:00,POINT(127.063466 37.593894),
2,user2@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,태호,1983-08-14,남자,영등포구,1,"안녕하세요, 태호 입니다.",2025-09-21 03:09:00,POINT(127.094098 37.530204),
3,user3@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,호태,1980-12-05,남자,서초구,20,"안녕하세요, 호태 입니다.",2025-10-02 16:32:00,POINT(127.094769 37.568780),
4,user4@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,대홍,2002-01-03,남자,노원구,10,"안녕하세요, 대홍 입니다.",2025-09-26 14:20:00,POINT(127.044667 37.535573),
5,user5@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,민준,1998-12-28,남자,영등포구,7,"안녕하세요, 민준 입니다.",2025-10-02 08:38:00,POINT(127.054268 37.514592),
6,user6@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서준,1978-10-18,남자,광진구,3,"안녕하세요, 서준 입니다.",2025-10-01 20:03:00,POINT(127.065055 37.468421),
7,user7@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,도윤,2003-11-11,남자,송파구,5,"안녕하세요, 도윤 입니다.",2025-09-26 01:18:00,POINT(127.063953 37.512452),
8,user8@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,예준,1976-06-07,남자,강서구,10,"안녕하세요, 예준 입니다.",2025-09-26 01:51:00,POINT(127.045382 37.563686),
9,user9@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하준,1985-12-26,남자,용인시,7,"안녕하세요, 하준 입니다.",2025-09-25 19:01:00,POINT(127.147834 37.546607),
10,user10@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지호,1980-11-08,남자,용인시,3,"안녕하세요, 지호 입니다.",2025-10-02 06:17:00,POINT(127.081760 37.570612),
11,user11@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지후,1996-10-31,남자,동작구,1,"안녕하세요, 지후 입니다.",2025-10-01 05:22:00,POINT(127.131319 37.586260),
12,user12@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,준우,1980-04-13,남자,동작구,3,"안녕하세요, 준우 입니다.",2025-09-21 15:11:00,POINT(127.101203 37.574981),
13,user13@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,시우,1999-09-23,남자,송파구,20,"안녕하세요, 시우 입니다.",2025-09-26 07:57:00,POINT(127.074147 37.486067),
14,user14@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,유준,1999-11-27,남자,강동구,7,"안녕하세요, 유준 입니다.",2025-09-23 15:01:00,POINT(127.089165 37.453226),
15,user15@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,윤우,1997-04-20,남자,성동구,20,"안녕하세요, 윤우 입니다.",2025-10-04 03:59:00,POINT(127.047815 37.589106),
16,user16@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,재윤,2005-11-21,남자,동작구,20,"안녕하세요, 재윤 입니다.",2025-09-26 18:01:00,POINT(127.045715 37.458718),
17,user17@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,승우,1993-11-04,남자,용인시,20,"안녕하세요, 승우 입니다.",2025-09-27 18:13:00,POINT(127.008647 37.577605),
18,user18@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,시헌,2001-04-30,남자,동작구,1,"안녕하세요, 시헌 입니다.",2025-09-19 20:24:00,POINT(127.051518 37.498171),
19,user19@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,선우,1992-03-18,남자,용산구,1,"안녕하세요, 선우 입니다.",2025-10-03 18:01:00,POINT(127.048297 37.476179),
20,user20@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,현우,1995-03-18,남자,강동구,10,"안녕하세요, 현우 입니다.",2025-09-28 22:59:00,POINT(127.057726 37.620890),
21,user21@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,정우,1978-09-15,남자,강남구,3,"안녕하세요, 정우 입니다.",2025-10-04 11:33:00,POINT(127.078174 37.545692),
22,user22@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,태윤,1982-07-17,남자,노원구,3,"안녕하세요, 태윤 입니다.",2025-09-21 17:02:00,POINT(127.052386 37.581070),
23,user23@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하진,2002-01-19,남자,서초구,7,"안녕하세요, 하진 입니다.",2025-10-04 10:55:00,POINT(127.084522 37.509175),
24,user24@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하율,1994-04-03,남자,화성시,1,"안녕하세요, 하율 입니다.",2025-09-30 22:03:00,POINT(127.024160 37.596215),
25,user25@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지율,1982-10-09,남자,강서구,7,"안녕하세요, 지율 입니다.",2025-09-29 02:59:00,POINT(127.064252 37.465873),
26,user26@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서윤,1978-11-09,남자,서초구,10,"안녕하세요, 서윤 입니다.",2025-09-23 17:48:00,POINT(127.085351 37.635517),
27,user27@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,채윤,2000-06-10,남자,강남구,15,"안녕하세요, 채윤 입니다.",2025-10-01 21:15:00,POINT(127.106305 37.459716),
28,user28@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서연,2001-09-17,남자,동작구,1,"안녕하세요, 서연 입니다.",2025-09-23 11:27:00,POINT(127.045970 37.507307),
29,user29@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하린,1982-12-08,남자,성북구,3,"안녕하세요, 하린 입니다.",2025-09-20 14:45:00,POINT(127.060503 37.550474),
30,user30@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서현,1980-12-21,남자,광진구,7,"안녕하세요, 서현 입니다.",2025-09-22 13:07:00,POINT(127.132202 37.503182),
31,user31@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지우,1987-08-09,남자,송파구,20,"안녕하세요, 지우 입니다.",2025-09-24 21:40:00,POINT(127.023555 37.461324),
32,user32@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,연우,1997-03-31,남자,서초구,5,"안녕하세요, 연우 입니다.",2025-09-24 00:28:00,POINT(127.136481 37.614301),
33,user33@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지민,1993-03-03,남자,성동구,1,"안녕하세요, 지민 입니다.",2025-09-25 11:55:00,POINT(127.130365 37.466314),
