user_id,email,password,nickname,birth_date,gender,sigungu,distance,introduction,last_sync_at,location,profile_photo_id
1,user1@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,나나,1975-11-19,M,송파구,10,"안녕하세요, 나나 입니다.",2025-09-21 18:17,POINT(127.063466 37.593894),
2,user2@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,태호,1983-08-14,M,영등포구,1,"안녕하세요, 태호 입니다.",2025-09-21 3:09,POINT(127.094098 37.530204),
3,user3@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,호태,1980-12-05,M,서초구,20,"안녕하세요, 호태 입니다.",2025-10-02 16:32,POINT(127.094769 37.568780),
4,user4@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,대홍,2002-01-03,M,노원구,10,"안녕하세요, 대홍 입니다.",2025-09-26 14:20,POINT(127.044667 37.535573),
5,user5@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,민준,1998-12-28,M,영등포구,7,"안녕하세요, 민준 입니다.",2025-10-02 8:38,POINT(127.054268 37.514592),
6,user6@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서준,1978-10-18,M,광진구,3,"안녕하세요, 서준 입니다.",2025-10-01 20:03,POINT(127.065055 37.468421),
7,user7@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,도윤,2003-11-11,M,송파구,5,"안녕하세요, 도윤 입니다.",2025-09-26 1:18,POINT(127.063953 37.512452),
8,user8@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,예준,1976-06-07,M,강서구,10,"안녕하세요, 예준 입니다.",2025-09-26 1:51,POINT(127.045382 37.563686),
9,user9@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하준,1985-12-26,M,용인시,7,"안녕하세요, 하준 입니다.",2025-09-25 19:01,POINT(127.147834 37.546607),
10,user10@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지호,1980-11-08,M,용인시,3,"안녕하세요, 지호 입니다.",2025-10-02 6:17,POINT(127.081760 37.570612),
11,user11@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지후,1996-10-31,M,동작구,1,"안녕하세요, 지후 입니다.",2025-10-01 5:22,POINT(127.131319 37.586260),
12,user12@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,준우,1980-04-13,M,동작구,3,"안녕하세요, 준우 입니다.",2025-09-21 15:11,POINT(127.101203 37.574981),
13,user13@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,시우,1999-09-23,M,송파구,20,"안녕하세요, 시우 입니다.",2025-09-26 7:57,POINT(127.074147 37.486067),
14,user14@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,유준,1999-11-27,M,강동구,7,"안녕하세요, 유준 입니다.",2025-09-23 15:01,POINT(127.089165 37.453226),
15,user15@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,윤우,1997-04-20,M,성동구,20,"안녕하세요, 윤우 입니다.",2025-10-04 3:59,POINT(127.047815 37.589106),
16,user16@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,재윤,2005-11-21,M,동작구,20,"안녕하세요, 재윤 입니다.",2025-09-26 18:01,POINT(127.045715 37.458718),
17,user17@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,승우,1993-11-04,M,용인시,20,"안녕하세요, 승우 입니다.",2025-09-27 18:13,POINT(127.008647 37.577605),
18,user18@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,시헌,2001-04-30,M,동작구,1,"안녕하세요, 시헌 입니다.",2025-09-19 20:24,POINT(127.051518 37.498171),
19,user19@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,선우,1992-03-18,M,용산구,1,"안녕하세요, 선우 입니다.",2025-10-03 18:01,POINT(127.048297 37.476179),
20,user20@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,현우,1995-03-18,M,강동구,10,"안녕하세요, 현우 입니다.",2025-09-28 22:59,POINT(127.057726 37.620890),
21,user21@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,정우,1978-09-15,M,강남구,3,"안녕하세요, 정우 입니다.",2025-10-04 11:33,POINT(127.078174 37.545692),
22,user22@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,태윤,1982-07-17,M,노원구,3,"안녕하세요, 태윤 입니다.",2025-09-21 17:02,POINT(127.052386 37.581070),
23,user23@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하진,2002-01-19,M,서초구,7,"안녕하세요, 하진 입니다.",2025-10-04 10:55,POINT(127.084522 37.509175),
24,user24@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하율,1994-04-03,M,화성시,1,"안녕하세요, 하율 입니다.",2025-09-30 22:03,POINT(127.024160 37.596215),
25,user25@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지율,1982-10-09,M,강서구,7,"안녕하세요, 지율 입니다.",2025-09-29 2:59,POINT(127.064252 37.465873),
26,user26@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서윤,1978-11-09,M,서초구,10,"안녕하세요, 서윤 입니다.",2025-09-23 17:48,POINT(127.085351 37.635517),
27,user27@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,채윤,2000-06-10,M,강남구,15,"안녕하세요, 채윤 입니다.",2025-10-01 21:15,POINT(127.106305 37.459716),
28,user28@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서연,2001-09-17,M,동작구,1,"안녕하세요, 서연 입니다.",2025-09-23 11:27,POINT(127.045970 37.507307),
29,user29@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하린,1982-12-08,M,성북구,3,"안녕하세요, 하린 입니다.",2025-09-20 14:45,POINT(127.060503 37.550474),
30,user30@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,서현,1980-12-21,M,광진구,7,"안녕하세요, 서현 입니다.",2025-09-22 13:07,POINT(127.132202 37.503182),
31,user31@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지우,1987-08-09,M,송파구,20,"안녕하세요, 지우 입니다.",2025-09-24 21:40,POINT(127.023555 37.461324),
32,user32@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,연우,1997-03-31,M,서초구,5,"안녕하세요, 연우 입니다.",2025-09-24 0:28,POINT(127.136481 37.614301),
33,user33@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지민,1993-03-03,M,성동구,1,"안녕하세요, 지민 입니다.",2025-09-25 11:55,POINT(127.130365 37.466314),
34,user34@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,수현,1977-04-28,M,성동구,1,"안녕하세요, 수현 입니다.",2025-09-20 2:24,POINT(127.138319 37.524144),
35,user35@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,유진,1991-03-26,M,강남구,7,"안녕하세요, 유진 입니다.",2025-09-30 9:04,POINT(127.107664 37.491219),
36,user36@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,민서,2003-04-17,M,마포구,5,"안녕하세요, 민서 입니다.",2025-09-26 19:35,POINT(127.101049 37.543305),
37,user37@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,수아,1985-06-23,M,노원구,20,"안녕하세요, 수아 입니다.",2025-10-04 9:25,POINT(127.098005 37.463355),
38,user38@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,다은,1988-03-24,M,고양시,20,"안녕하세요, 다은 입니다.",2025-09-26 19:23,POINT(127.104975 37.470527),
39,user39@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,채원,1976-01-20,M,수원시,15,"안녕하세요, 채원 입니다.",2025-09-20 17:41,POINT(127.063880 37.553743),
40,user40@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,가은,2004-04-27,M,영등포구,15,"안녕하세요, 가은 입니다.",2025-09-26 5:21,POINT(127.126830 37.514264),
41,user41@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,하은,1975-01-13,M,수원시,5,"안녕하세요, 하은 입니다.",2025-09-23 4:28,POINT(127.137525 37.497320),
42,user42@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,유나,2000-01-15,M,송파구,3,"안녕하세요, 유나 입니다.",2025-09-19 12:02,POINT(127.047050 37.550443),
43,user43@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,예린,1976-01-15,M,마포구,15,"안녕하세요, 예린 입니다.",2025-10-01 21:17,POINT(127.121169 37.497650),
44,user44@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,소율,1999-12-23,M,동작구,5,"안녕하세요, 소율 입니다.",2025-09-27 1:49,POINT(127.080926 37.646116),
45,user45@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,지원,2004-09-16,M,성남시,1,"안녕하세요, 지원 입니다.",2025-09-28 1:30,POINT(127.014556 37.525037),
46,user46@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,시윤,2003-08-13,M,수원시,20,"안녕하세요, 시윤 입니다.",2025-09-22 2:46,POINT(127.066505 37.491650),
47,user47@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,연서,2005-09-17,M,중구,3,"안녕하세요, 연서 입니다.",2025-10-01 11:15,POINT(127.129819 37.580150),
48,user48@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,민지,1990-01-22,M,화성시,20,"안녕하세요, 민지 입니다.",2025-10-01 8:31,POINT(127.148955 37.463490),
49,user49@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,다현,1976-09-05,M,성남시,1,"안녕하세요, 다현 입니다.",2025-09-30 13:16,POINT(127.094459 37.565133),
50,user50@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,은우,1986-09-13,M,고양시,1,"안녕하세요, 은우 입니다.",2025-09-24 8:25,POINT(127.025218 37.646486),
51,user51@example.com,$2b$12$QyeiS9KD1RR06DHsobw7DOc4mgq6Cro1LhKXbqdb5h8id4tAQYD.u,윤호,1991-07-04,F,동작구,1,"안녕하세요, 윤호 입니다.",2025-09-28 13:21,POINT(127.003929 37.576410),
